020;100;PRINCIPADO DE ANDORRA;AND                                      
020;200;PRINCIPADO DE ANDORRA;AND                                      
020;300;PRINCIPADO DE ANDORRA;AND                                      
020;400;PRINCIPADO DE ANDORRA;AND                                      
020;500;PRINCIPADO DE ANDORRA;AND                                      
020;551;PRINCIPADO DE ANDORRA;LER                                      
020;552;PRINCIPADO DE ANDORRA;LER                                      
020;553;PRINCIPADO DE ANDORRA;LER                                      
020;554;PRINCIPADO DE ANDORRA;LER                                      
020;555;PRINCIPADO DE ANDORRA;LER                                      
020;556;PRINCIPADO DE ANDORRA;LER                                      
020;557;PRINCIPADO DE ANDORRA;LER                                      
020;558;PRINCIPADO DE ANDORRA;LER                                      
020;559;PRINCIPADO DE ANDORRA;LER                                      
020;560;PRINCIPADO DE ANDORRA;LER                                      
020;600;PRINCIPADO DE ANDORRA;AND                                      
020;700;PRINCIPADO DE ANDORRA;AND                                      
292;00000;GIBRALTAR;MAL                                                
620;1000;10 Z. LISBOA;LIS                                              
620;1049;10 Z. LISBOA;LIS                                              
620;10500;10 Z. LISBOA;LIS                                              
620;1067;10 Z. LISBOA;LIS                                              
620;1068;10 Z. LISBOA;LIS                                              
620;1069;10 Z. LISBOA;LIS                                              
620;1070;10 Z. LISBOA;LIS                                              
620;1092;10 Z. LISBOA;LIS                                              
620;1098;10 Z. LISBOA;LIS                                              
620;1099;10 Z. LISBOA;LIS                                              
620;1100;11 Z. LISBOA;LIS                                              
620;1149;11 Z. LISBOA;LIS                                              
620;1150;11 Z. LISBOA;LIS                                              
620;1166;11 Z. LISBOA;LIS                                              
620;1167;11 Z. LISBOA;LIS                                              
620;1169;11 Z. LISBOA;LIS                                              
620;1170;11 Z. LISBOA;LIS                                              
620;1199;11 Z. LISBOA;LIS                                              
620;1200;12 Z. LISBOA;LIS                                              
620;1208;12 Z. LISBOA;LIS                                              
620;1249;12 Z. LISBOA;LIS                                              
620;12500;12 Z. LISBOA;LIS                                              
620;1269;12 Z. LISBOA;LIS                                              
620;1300;13 Z. LISBOA;LIS                                              
620;1349;13 Z. LISBOA;LIS                                              
620;1350;13 Z. LISBOA;LIS                                              
620;1399;13 Z. LISBOA;LIS                                              
620;1400;14 Z. LISBOA;LIS                                              
620;1449;14 Z. LISBOA;LIS                                              
620;1495;14 Z. LISBOA;LIS                                              
620;1499;14 Z. LISBOA;LIS                                              
620;1500;15 Z. LISBOA;LIS                                              
620;1549;15 Z. LISBOA;LIS                                              
620;1600;16 Z. LISBOA;LIS                                              
620;1649;16 Z. LISBOA;LIS                                              
620;1675;16 Z. LISBOA;LIS                                              
620;1679;16 Z. LISBOA;LIS                                              
620;1685;16 Z. LISBOA;LIS                                              
620;1689;16 Z. LISBOA;LIS                                              
620;1700;17 Z. LISBOA;LIS                                              
620;1748;17 Z. LISBOA;LIS                                              
620;1749;17 Z. LISBOA;LIS                                              
620;1750;17 Z. LISBOA;LIS                                              
620;1769;17 Z. LISBOA;LIS                                              
620;1800;18 Z. LISBOA;LIS                                              
620;1849;18 Z. LISBOA;LIS                                              
